City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,egvekinot,66.3167,-179.1667,-32.64,88,15,6.1,RU,1675551328
141,katsuura,35.1333,140.3,7.16,66,11,6.45,JP,1675551217
142,santiago del estero,-27.7951,-64.2615,27.34,40,100,1.59,AR,1675551325
143,hilo,19.7297,-155.09,25.71,83,75,3.6,US,1675551161
144,khatanga,71.9667,102.5,-39.13,100,50,2.26,RU,1675551156
145,bagotville,-28.9833,153.4167,28.81,64,87,2.99,AU,1675551329
146,la seyne-sur-mer,43.0982,5.8847,10.49,76,0,2.42,FR,1675551329
147,souillac,-20.5167,57.5167,26.21,89,75,3.09,MU,1675551280
148,karakol,42.4907,78.3936,-5.57,62,99,3.28,KG,1675551330
149,midland,31.9974,-102.0779,18.92,29,0,5.14,US,1675551196
150,bad hall,48.0383,14.2077,0.76,72,39,1.79,AT,1675551331
151,cherskiy,68.75,161.3,-38.28,100,97,1.68,RU,1675551174
152,vostok,46.4856,135.8833,-18.92,96,100,1.86,RU,1675551256
153,skotina,40.0147,22.5515,5.51,66,100,6.46,GR,1675551331
154,mount gambier,-37.8333,140.7667,15.2,72,100,1.73,AU,1675551332
155,jiangyou,31.7667,104.7167,10.04,70,100,0.87,CN,1675551332
156,beringovskiy,63.05,179.3167,-27.35,84,52,7.23,RU,1675551333
157,kariba,-16.5167,28.8,21.7,89,100,2.43,ZW,1675551333
158,guerrero negro,27.9769,-114.0611,19.86,41,0,5.26,MX,1675551148
159,tautira,-17.7333,-149.15,26.7,77,75,6.59,PF,1675551334
160,ambulu,-8.345,113.6058,24.37,88,100,1.76,ID,1675551335
161,bethel,41.3712,-73.414,-7.02,38,100,2.57,US,1675551090
162,youkounkoun,12.5333,-13.1333,26.81,13,8,2.65,GN,1675551335
163,broken hill,-31.95,141.4333,19.08,46,0,4.75,AU,1675551336
164,fairbanks,64.8378,-147.7164,-11.16,81,100,2.06,US,1675551336
165,havre-saint-pierre,50.2334,-63.5986,-14.0,60,100,13.89,CA,1675551337
166,lardos,36.0942,28.0157,7.9,83,98,3.45,GR,1675551337
167,srednekolymsk,67.45,153.6833,-36.22,100,100,1.57,RU,1675551338
168,kavieng,-2.5744,150.7967,28.42,71,95,1.97,PG,1675551338
169,luanda,-8.8368,13.2343,27.0,78,75,3.6,AO,1675551339
170,kenai,60.5544,-151.2583,-3.25,88,100,2.57,US,1675551219
171,haines junction,60.7522,-137.5108,-10.03,73,100,1.03,CA,1675551110
172,linxia,35.6003,103.2064,-0.31,45,88,0.56,CN,1675551340
173,mar del plata,-38.0023,-57.5575,21.01,68,20,4.63,AR,1675551340
174,sinnamary,5.3833,-52.95,24.89,88,100,7.5,GF,1675551180
